Name,Link,Iframe,Folder
Old Spain,https://open.spotify.com/playlist/1mADOcboM4jGiVmOCwx38k?si=8456f284965f4244,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/1mADOcboM4jGiVmOCwx38k?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",tier1
"RnB, Soul & more",https://open.spotify.com/playlist/1HRJe0wr365b35krysHanP?si=c7f617c4dde64197,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/1HRJe0wr365b35krysHanP?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",tier1
Retro,https://open.spotify.com/playlist/7DHTI4GvbjOQr1FZrzDTxU?si=773bd4d796674a22,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/7DHTI4GvbjOQr1FZrzDTxU?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",tier1
R.A.P,https://open.spotify.com/playlist/63rduUGi0zHPywmylm8B4B?si=6202e3b1e8224a51,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/63rduUGi0zHPywmylm8B4B?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",tier1
Mythical,https://open.spotify.com/playlist/0Zkro8D6fZrEbVfSh4GbCn?si=9ea1992105804cab,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/0Zkro8D6fZrEbVfSh4GbCn?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",tier1
What Else?,https://open.spotify.com/playlist/7JN1duyLW6nJSQVXwQS17q?si=2210f2f552a543c9,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/7JN1duyLW6nJSQVXwQS17q?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",tier1
cuore ☄,https://open.spotify.com/playlist/6h5ZQERZjj2DqVGANiTxDU?si=34ae50d1698a492a,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/6h5ZQERZjj2DqVGANiTxDU?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",tier1
Jazz,https://open.spotify.com/playlist/05b0GO4xRLSw1oHJVOzc88?si=fabb36c8bac3447d,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/05b0GO4xRLSw1oHJVOzc88?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",origin
Classical & Opera,https://open.spotify.com/playlist/6EAXRcyJSkOaq5h5qHGPdH?si=57f28eacff2d4efc,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/6EAXRcyJSkOaq5h5qHGPdH?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",origin
Gospel,https://open.spotify.com/playlist/59VkEETgqaliC4mCnYQdFJ?si=aa43f541e6b445eb,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/59VkEETgqaliC4mCnYQdFJ?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",origin
Relax,https://open.spotify.com/playlist/6VC7pL4CobP67s8W9JFl2N?si=09d8c06d76ad4731,"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/playlist/6VC7pL4CobP67s8W9JFl2N?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>",origin
